,Treshold,PDB,Chain,N,Res,Rfac,Method,N_sc,N_bb,N_naa,N_hlx,N_beta,Compound,k,Ratio,N_pdb,N_nc,Domains,sigma,a0
0,25,3NIR,A,49,0.48,0.13,X,48,48,1,16,5,' crambin',1.25047152196,21.4252479868,48.0,131.0,1.0,6.3,3.8
1,25,1US0,A,313,0.66,0.09,X,313,313,0,121,47,' aldose reductase',5.27068242299,90.3064771879,313.0,897.0,1.0,6.3,3.8
2,25,1P9G,A,41,0.84,0.07,X,41,41,1,8,8,' eafp 2',0.827476541286,14.1777639786,41.0,128.0,1.0,6.3,3.8
3,25,1YK4,A,52,0.69,0.10,X,52,52,0,9,15,' rubredoxin',1.52112540413,26.0625599464,52.0,117.0,1.0,6.3,3.8
4,25,1GCI,A,269,0.78,0.10,X,269,269,0,82,59,' subtilisin',3.05040128339,52.2647679759,271.0,1069.0,1.0,6.3,3.8
5,25,3UI4,A,101,0.80,0.09,X,101,101,0,35,31,' peptidyl-prolyl cis-trans isomerase nima-interacting 4',1.94155305323,33.2660559752,101.0,307.0,1000.0,6.3,3.8
6,25,2WFI,A,172,0.75,0.11,X,172,172,1,23,57,' peptidyl-prolyl cis-trans isomerase g',2.52919052718,43.3344808729,172.0,573.0,1000.0,6.3,3.8
7,25,2O7A,A,117,0.84,0.09,X,116,116,2,83,0,' lysozyme',3.55284271306,60.8734664073,116.0,300.0,1000.0,6.3,3.8
8,25,2JFR,A,234,0.83,0.10,X,234,234,0,77,64,' ser-thr phosphatase mspp',3.33866637237,57.2038256905,234.0,803.0,1.0,6.3,3.8
9,25,1UCS,A,64,0.62,0.14,X,64,64,0,13,16,' antifreeze peptide rd1',1.22279854019,20.9511064438,64.0,174.0,1.0,6.3,3.8
10,25,1GWE,A,498,0.88,0.09,X,498,498,0,152,81,' catalase',7.426812611,127.24904098,498.0,1413.0,1000.0,6.3,3.8
11,25,3Q8J,A,37,0.87,0.09,X,37,37,1,0,0,' asteropsin a',0.738059804244,12.6457212798,37.0,111.0,1000.0,6.3,3.8
12,25,1PQ5,A,225,0.85,0.10,X,225,225,0,22,83,' trypsin',2.83605075264,48.5921427328,225.0,794.0,2.0,6.3,3.8
13,25,1I1W,A,303,0.89,0.09,X,303,303,1,130,58,"' endo-1,4-beta-xylanase'",4.35889609959,74.6841717241,303.0,996.0,1.0,6.3,3.8
14,25,2YKZ,A,126,0.84,0.11,X,126,126,1,92,2,' cytochrome c'',3.78678298411,64.8817370742,126.0,324.0,1000.0,6.3,3.8
15,25,1MC2,A,122,0.85,0.10,X,122,122,0,58,8,' acutohaemonlysin',3.08611154656,52.8766181706,122.0,318.0,1.0,6.3,3.8
16,25,1DY5,A,125,0.87,0.10,X,124,124,2,26,45,' ribonuclease a',2.3675071787,40.5642411868,124.0,351.0,1.0,6.3,3.8
17,25,2P74,A,263,0.88,0.10,X,263,263,1,114,49,' beta-lactamase ctx-m-9a',4.11917095795,70.5767846161,263.0,850.0,1.0,6.3,3.8
